armyPerception,civilianPerception,percentCivilianGlassesWearers,redCrossPerception,totalNumberArmy,totalNumberCivilians,totalNumberRedCross,totalZombified
3.20732421875,2.99541015625,0.2998046875,2.16591796875,10,100,10,8
3.20732421875,2.99541015625,0.2998046875,2.16591796875,10,100,10,13
3.20732421875,2.99541015625,0.2998046875,2.16591796875,10,100,10,9
2.43232421875,3.77041015625,0.5498046875,4.49091796875,10,100,10,14
2.43232421875,3.77041015625,0.5498046875,4.49091796875,10,100,10,4
2.43232421875,3.77041015625,0.5498046875,4.49091796875,10,100,10,6
2.43232421875,3.77041015625,0.5498046875,4.49091796875,10,100,10,6
2.43232421875,3.77041015625,0.5498046875,4.49091796875,10,100,10,6
2.43232421875,3.77041015625,0.5498046875,4.49091796875,10,100,10,4
2.43232421875,3.77041015625,0.5498046875,4.49091796875,10,100,10,7
2.43232421875,3.77041015625,0.5498046875,4.49091796875,10,100,10,6
2.43232421875,3.77041015625,0.5498046875,4.49091796875,10,100,10,12
2.43232421875,3.77041015625,0.5498046875,4.49091796875,10,100,10,5
3.98232421875,2.22041015625,0.0498046875,2.94091796875,10,100,10,4
3.98232421875,2.22041015625,0.0498046875,2.94091796875,10,100,10,17
3.98232421875,2.22041015625,0.0498046875,2.94091796875,10,100,10,7
3.98232421875,2.22041015625,0.0498046875,2.94091796875,10,100,10,8
3.98232421875,2.22041015625,0.0498046875,2.94091796875,10,100,10,4
3.98232421875,2.22041015625,0.0498046875,2.94091796875,10,100,10,3
3.98232421875,2.22041015625,0.0498046875,2.94091796875,10,100,10,12
3.98232421875,2.22041015625,0.0498046875,2.94091796875,10,100,10,14
3.98232421875,2.22041015625,0.0498046875,2.94091796875,10,100,10,1
3.98232421875,2.22041015625,0.0498046875,2.94091796875,10,100,10,12
2.81982421875,2.60791015625,0.1748046875,1.77841796875,10,100,10,6
2.81982421875,2.60791015625,0.1748046875,1.77841796875,10,100,10,8
2.81982421875,2.60791015625,0.1748046875,1.77841796875,10,100,10,33
